2021-11-13 at 15:25:19 | INFO | Neptune Start Up ....
2021-11-13 at 15:25:19 | INFO | API prefix is: [ /api/v1 ]
2021-11-13 at 15:25:19 | INFO | Add Custom query ...
2021-11-13 at 15:25:19 | INFO | Neptune Starting ....
2021-11-13 at 15:25:19 | INFO | API cache does not exists ....
2021-11-13 at 15:26:00 | INFO | Neptune Shutting Down ....
2021-11-13 at 15:26:00 | INFO | API cache does not exists ....
2021-11-13 at 15:26:03 | INFO | Neptune Start Up ....
2021-11-13 at 15:26:03 | INFO | API prefix is: [ /api/v1 ]
2021-11-13 at 15:26:03 | INFO | Add Custom query ...
2021-11-13 at 15:26:03 | INFO | Neptune Starting ....
2021-11-13 at 15:26:03 | INFO | API cache does not exists ....
2021-11-13 at 15:26:12 | DEBUG | Access '/_table/{table_name}' : run in get_data(), input data table_name: [orders]
2021-11-13 at 15:26:12 | DEBUG | fieldlist: [*]
2021-11-13 at 15:26:12 | DEBUG | filter: [None]
2021-11-13 at 15:26:12 | DEBUG | filterparam: [None]
2021-11-13 at 15:26:12 | DEBUG | limit: [200]
2021-11-13 at 15:26:12 | DEBUG | offset: [0]
2021-11-13 at 15:26:12 | DEBUG | order: [None]
2021-11-13 at 15:26:12 | DEBUG | group: [None]
2021-11-13 at 15:26:12 | DEBUG | distinct: [False]
2021-11-13 at 15:26:12 | DEBUG | count_only: [False]
2021-11-13 at 15:26:12 | DEBUG | include_count: [False]
2021-11-13 at 15:26:12 | DEBUG | Connect use uri [ mysql+pymysql://root:passw0rd@192.168.50.10:3306/mysqlsrc ]
2021-11-13 at 15:26:12 | DEBUG | Metadata cache exists, load meta from cache file [ /Users/zhangjun/.neptune_cache/neptune_metadata ]
2021-11-13 at 15:26:12 | DEBUG | Generate Schema file from database ...
2021-11-13 at 15:26:12 | DEBUG | Generate Schema from : [ mysqlsrc ] with db tableschema [ mysqlsrc ]
2021-11-13 at 15:26:13 | DEBUG | Loading tableschema from /Users/zhangjun/PycharmProjects/neptune/config/metadata.json
